title,language,pages,read
Simulations in Swift 5: Design and Implement with Swift Playgrounds,Swift,144,2020-06-17
How to (make games with) LOVE,Lua,200,2020-05-19
Using Asyncio in Python: Understanding Python's Asynchronous Programming Features,Python,156,2020-04-30
TensorFlow 2.0 Quick Start Guide: Get up to speed with the newly introduced features of TensorFlow 2.0,Python,196,2019-05-15
"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More",Python,240,2019-05-08
"Personal Finance with Python: Using pandas, Requests, and Recurrent",Python,136,2018-07-20
The Road to React,JS,234,2018-07-17
Learning React,JS,304,2018-07-12
Eloquent JavaScript,JS,504,2018-06-28
Deep Learning Cookbook: Practical Recipes to Get Started Quickly,Python,252,2018-06-18
Python Tricks,Python,304,2018-06-08
Complex Network Analysis in Python,Python,222,2018-05-24
Illustrated Guide to Python 3: A Complete Walkthrough of Beginning Python with Unique Illustrations Showing how Python Really Works. Now covers Python 3.6 (Treading on Python Book 4),Python,257,2018-02-09
Feature Engineering Made Easy,Python,361,2018-02-09
Python Machine Learning - Second Edition,Python,622,2018-01-08
"Powerful Python: The Most Impactful Patterns, Features and Development Strategies Modern Python Provides",Python,222,2017-12-14
"Python for Data Analysis: Data Wrangling with Pandas, Numpy, and Ipython",Python,550,2017-11-07
Deep Learning with Python,Python,350,2017-09-11
The Hitchhiker's Guide to Python: Best Practices for Development,Python,338,2017-06-13
Essential Sqlalchemy: Mapping Python to Databases,Python,208,2017-05-30
Flask By Example,Python,276,2017-05-15
Statistics Done Wrong: The Woefully Complete Guide,Other,176,2017-04-16
Invent Your Own Computer Games with Python,Python,376,2017-03-24
Python Data Science Handbook: Tools and Techniques for Developers,Python,500,2017-03-08
Bayesian Analysis with Python,Python,282,2017-01-18
Beginning C++ Through Game Programming,C++,390,2016-11-30
Bandit Algorithms for Website Optimization,Python,88,2016-11-22
R for Data Science,R,250,2016-10-27
"Data Visualization with Python and JavaScript: Scrape, Clean, Explore & Transform Your Data",R,592,2016-10-03
Start R in Calculus,R,81,2016-09-06
Simulation for Data Science with R,R,398,2016-08-03
Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Python,256,2016-07-26
Statistical Rethinking: A Bayesian Course with Examples in R and Stan,R,469,2016-07-13
The iOS Apprentice: Beginning IOS Development with Swift 2,Swift,1018,2016-06-10
Getting Started with SQL: A Hands-On Approach for Beginners,SQL,134,2016-05-24
Sams Teach Yourself SQL in 10 Minutes,SQL,256,2016-05-19
Show Me the Numbers: Designing Tables and Graphs to Enlighten,Other,371,2016-01-28
iOS Programming: The Big Nerd Ranch Guide (Big Nerd Ranch Guides),Swift,414,2016-01-20
Doing Math with Python,Python,304,2015-12-13
Machine Learning with R Cookbook - 110 Recipes for Building Powerful Predictive Models with R,R,442,2015-08-21
Python Data Science Essentials - Learn the fundamentals of Data Science with Python,Python,258,2015-08-05
"Introduction to Scientific Programming and Simulation Using R, Second Edition (Chapman & Hall/CRC The R Series)",R,606,2015-07-22
Analyzing Baseball Data with R,R,352,2015-06-25
Doing Data Science: Straight Talk from the Frontline,R,404,2015-06-03
Data Science from Scratch: First Principles with Python,Python,330,2015-05-13
Hands-On Programming with R: Write Your Own Functions and Simulations,R,230,2015-04-29
R Programming for Data Science,R,132,2015-04-15
Think Python,Python,300,2015-04-09
